id,begin_date,end_date,label,gare_source,duration
8df8f19a-245b-4b8e-87e1-4aaa04f7fd7b,2024-08-03 18:47:13,2024-08-03 19:53:27,incident exploitation,Poissy,0 days 01:06:14
cf2de773-2139-44aa-b333-1363bfe7db1f,2024-08-03 14:35:52,2024-08-03 15:58:31,signal alarme,Gare de Lyon,0 days 01:22:39
e9bb1154-f50e-4d8e-a35d-0a02898dcff6,2024-08-03 03:08:16,2024-08-03 04:16:32,incident exploitation,Boissy-Saint-Léger,0 days 01:08:16
9b296b8a-14e7-4955-935c-5a47fccf82c4,2024-08-02 15:28:11,2024-08-02 15:29:18,intervention personnel,Auber,0 days 00:01:07
190ad1f7-287d-4220-aa42-529c6b7f60ce,2024-08-02 11:52:49,2024-08-02 11:53:29,intervention personnel,Fontenay-sous-Bois,0 days 00:00:40
925177df-ac4b-475f-b08b-af8bb6018008,2024-08-02 10:29:56,2024-08-02 10:38:40,bagage oublie,Nanterre Préfecture,0 days 00:08:44
6103b644-9aa9-4efd-8ce4-331ce48437e4,2024-08-02 10:25:07,2024-08-02 10:43:51,bagage oublie,Nanterre Préfecture,0 days 00:18:44
a8d7709a-3095-4c93-b34d-2c7bececbfc2,2024-08-02 10:07:20,2024-08-02 10:08:25,intervention personnel,Nanterre Préfecture,0 days 00:01:05
53eaa037-625f-414a-afc2-a427fea7ac6e,2024-08-02 09:39:25,2024-08-02 09:40:27,intervention personnel,La Varenne-Chennevières,0 days 00:01:02
f896f1b4-7425-4796-b04a-0963536e8028,2024-08-02 07:52:56,2024-08-02 07:58:34,voies,Cergy le Haut,0 days 00:05:38
fb2c6501-e71a-4716-b85d-ea91969618d0,2024-08-02 07:27:28,2024-08-02 08:29:15,voyageur,Parc de Saint-Maur,0 days 01:01:47
e91587ac-b9c7-4f41-8017-0a0470bce8b3,2024-08-02 07:01:39,2024-08-02 07:04:23,intervention personnel,Boissy-Saint-Léger,0 days 00:02:44
d0ec5b20-8b11-406f-94b0-a1aa94307bd2,2024-08-01 16:41:05,2024-08-01 19:04:32,bagage oublie,Gare de Lyon,0 days 02:23:27
3447f431-68a5-4c8a-91cf-8c6f10ae9626,2024-08-01 14:06:40,2024-08-01 14:08:57,intervention personnel,Torcy,0 days 00:02:17
9e6d4443-7577-490d-b6db-35663bafa0c5,2024-08-01 13:38:31,2024-08-01 13:40:35,voies,Châtelet les Halles,0 days 00:02:04
863ad544-035f-4fe5-8dc7-c63e2c75e9d5,2024-08-01 13:23:38,2024-08-01 13:30:36,signal alarme,Gare de Lyon,0 days 00:06:58
8261b2e7-8efa-427d-b7dc-892127bb8bdd,2024-08-01 10:11:21,2024-08-01 10:16:18,signal alarme,Houilles-Carrières-sur-Seine,0 days 00:04:57
70d42217-aaee-485a-bff0-75cec9c42008,2024-08-01 10:04:35,2024-08-01 10:14:54,bagage oublie,Nation,0 days 00:10:19
491d84d7-c97e-43fb-b49b-4b052fa0ea06,2024-08-01 08:09:43,2024-08-01 08:13:55,intervention personnel,Vincennes,0 days 00:04:12
a14b7cea-dc84-42c0-8ebd-3a497d55cbef,2024-08-01 07:45:54,2024-08-01 08:20:08,incident technique,La Varenne-Chennevières,0 days 00:34:14
53807d98-a0f2-4d46-ba8d-ba46e78b8484,2024-08-01 07:01:50,2024-08-01 07:05:35,incident technique,La Varenne-Chennevières,0 days 00:03:45
1ae7a52e-1d49-43d4-85d8-693f26c69e76,2024-08-01 06:41:17,2024-08-01 06:45:33,incident technique,Sucy-Bonneuil,0 days 00:04:16
5711cc01-c56b-4564-b336-15c91715efa7,2024-08-01 05:08:09,2024-08-01 05:48:20,divers,La Varenne-Chennevières,0 days 00:40:11
51bd6975-2c46-4896-a56c-15e76b6332a4,2024-08-01 04:38:25,2024-08-01 05:55:43,voies,Sucy-Bonneuil,0 days 01:17:18
4e63ae07-3dd1-4672-abfd-60297cf864ac,2024-07-31 17:56:53,2024-07-31 19:55:37,voyageur,Neuville Université,0 days 01:58:44
f62d38b1-346a-4de6-b215-971f0acdf6c9,2024-07-31 16:47:13,2024-07-31 17:16:18,voies,Maisons-Laffitte,0 days 00:29:05
b94bd23d-6caa-44d7-89b3-3e48df7f0d4a,2024-07-31 15:56:28,2024-07-31 16:01:49,voies,Fontenay-sous-Bois,0 days 00:05:21
c63f2703-5728-4f49-a682-c169b5109209,2024-07-31 15:05:51,2024-07-31 15:08:07,incident technique,Boissy-Saint-Léger,0 days 00:02:16
0075910e-4028-4278-b966-7744a1da3d78,2024-07-31 11:54:35,2024-07-31 14:46:57,intervention personnel,Gare de Lyon,0 days 02:52:22
87171e0d-f819-4a23-b227-0335af3f0516,2024-07-31 11:37:40,2024-07-31 11:40:29,intervention personnel,Rueil-Malmaison,0 days 00:02:49
7c29e73b-9e16-4114-b8d2-29e7c7ad1d21,2024-07-31 09:42:38,2024-07-31 10:20:25,intervention personnel,La Varenne-Chennevières,0 days 00:37:47
25b0363b-c37e-4355-b138-e98527a6d17d,2024-07-31 08:22:49,2024-07-31 08:25:17,porte,Noisiel,0 days 00:02:28
31d3355d-aca0-445a-937e-0dc12bb6b41d,2024-07-31 03:26:06,2024-07-31 04:54:02,panne train,,0 days 01:27:56
6466fc5f-b9b9-440b-950f-b30f0a4bb1b7,2024-07-31 03:20:56,2024-07-31 06:49:30,voyageur,,0 days 03:28:34
a2073b20-ece5-497e-8c11-d2b3615aa3b5,2024-07-30 16:22:57,2024-07-30 17:06:13,panne electrique,Houilles-Carrières-sur-Seine,0 days 00:43:16
9dae859a-412f-48dc-a8c4-592f5bc23d84,2024-07-30 15:09:17,2024-07-30 15:20:54,voies,Vincennes,0 days 00:11:37
17765f4f-aab0-4573-8b6a-0ac9c0db31d9,2024-07-30 15:02:12,2024-07-30 15:07:09,voies,Vincennes,0 days 00:04:57
1b051ed4-f813-4d0f-9132-c88cd2959d11,2024-07-30 13:33:37,2024-07-30 14:00:22,voies,Vincennes,0 days 00:26:45
fc490c1e-5823-4022-9c68-3cf58222b66f,2024-07-30 13:21:33,2024-07-30 13:29:01,signal alarme,Nanterre Préfecture,0 days 00:07:28
4b0e65ca-97ae-4557-a407-b75ab6bb38a9,2024-07-30 12:46:01,2024-07-30 12:49:11,voyageur,Marne-la-Vallée-Chessy,0 days 00:03:10
b057ef21-b34b-4610-9b48-db8636c65d09,2024-07-30 12:35:25,2024-07-30 12:39:50,intervention personnel,La Varenne-Chennevières,0 days 00:04:25
3f6e72b3-6b03-45ad-b1d3-43fd55e08025,2024-07-30 11:38:02,2024-07-30 11:41:10,intervention personnel,Rueil-Malmaison,0 days 00:03:08
0dc288ea-02e8-426b-8100-8e53491a7717,2024-07-30 03:31:24,2024-07-30 05:18:13,voies,Vincennes,0 days 01:46:49
b26e7cde-11ef-4c51-83cb-c35e7408777a,2024-07-29 18:52:13,2024-07-29 20:00:53,bagage oublie,Nanterre Préfecture,0 days 01:08:40
f2972bb2-5f62-42d6-bfe3-9dcdebc5ed94,2024-07-29 12:38:48,2024-07-29 13:40:39,voyageur,Maisons-Laffitte,0 days 01:01:51
33851f93-2463-427d-9ebe-73e4a43d5775,2024-07-29 11:16:57,2024-07-29 11:17:44,intervention personnel,Val d'Europe,0 days 00:00:47
9e2e05fc-28c1-431b-a0a9-561bc303e385,2024-07-29 10:18:42,2024-07-29 11:13:12,signalisation,Achères Ville,0 days 00:54:30
9adb6095-0cf3-46e7-b1da-d201ace68ff5,2024-07-29 10:12:00,2024-07-29 10:19:21,intervention personnel,La Défense,0 days 00:07:21
26295b03-f9b4-4564-91bb-3b0b434544ef,2024-07-28 15:52:36,2024-07-28 16:28:14,bagage oublie,Fontenay-sous-Bois,0 days 00:35:38
f6774b7d-f35e-440f-8e3e-b85d42e43be0,2024-07-28 15:02:48,2024-07-28 15:04:48,intervention personnel,Vincennes,0 days 00:02:00
b0018f4f-b9c4-4b3d-8c19-55fdadbc492c,2024-07-28 06:12:03,2024-07-28 07:52:00,signalisation,Houilles-Carrières-sur-Seine,0 days 01:39:57
1084f781-45cd-4f1b-9b6c-81ee263fc3cd,2024-07-27 21:05:32,2024-07-27 21:32:53,panne train,Maisons-Laffitte,0 days 00:27:21
9bdec865-2321-424e-b564-1e8c99562b80,2024-07-27 10:05:29,2024-07-27 11:13:17,porte,La Défense,0 days 01:07:48
e760d526-9d52-4fa5-ba94-0c0c9e7a84ce,2024-07-27 08:21:32,2024-07-27 08:51:08,bagage oublie,Bussy-Saint-Georges,0 days 00:29:36
c45bb5a3-21ef-4ee1-88eb-8587229be632,2024-07-26 20:50:26,2024-07-26 20:53:35,signal alarme,Val d'Europe,0 days 00:03:09
db2da06a-b72f-4c81-9fb1-5d24c9065c9e,2024-07-26 18:58:04,2024-07-26 19:07:10,incident technique,Auber,0 days 00:09:06
e6161d24-0ad4-4cfc-8c10-1d9d8de43a46,2024-07-26 18:37:40,2024-07-26 18:59:05,bagage oublie,Nanterre Ville,0 days 00:21:25
96d85836-12bc-4d5a-96ac-15d7dbc96245,2024-07-26 18:11:46,2024-07-26 18:14:28,signal alarme,Châtelet les Halles,0 days 00:02:42
757294bc-3312-47ec-b99b-e88aa8aa75c1,2024-07-26 16:13:13,2024-07-26 16:14:04,intervention personnel,Noisy-Champs,0 days 00:00:51
853fdfa1-d0b8-48e9-9e50-f8f162532106,2024-07-26 14:41:46,2024-07-26 15:00:02,bagage oublie,Sucy-Bonneuil,0 days 00:18:16
400d2c40-b4c4-4862-a0f0-21622edd672d,2024-07-26 14:34:54,2024-07-26 14:40:52,voyageur,Gare de Lyon,0 days 00:05:58
9e0c3e6e-fb56-4b9d-a87a-41b11b973d94,2024-07-26 13:15:49,2024-07-26 13:19:15,intervention personnel,Val d'Europe,0 days 00:03:26
9490b7c7-491e-4257-bcf7-4abc8f5c35ad,2024-07-26 12:45:35,2024-07-26 12:47:18,voyageur,Val d'Europe,0 days 00:01:43
4b4874e7-a688-4ab5-88a3-8fd9c4a09625,2024-07-26 11:52:55,2024-07-26 12:16:10,incident exploitation,Nanterre Préfecture,0 days 00:23:15
17996b3c-9bfe-428a-b98a-5a04c0de8b16,2024-07-26 10:32:18,2024-07-26 10:37:17,signal alarme,La Défense,0 days 00:04:59
407aaebf-7db2-4506-b954-595e4e14faeb,2024-07-26 09:57:32,2024-07-26 10:01:53,intervention personnel,Châtelet les Halles,0 days 00:04:21
4b72a3ff-fbfc-4769-83c2-dc9ac9522136,2024-07-26 08:37:00,2024-07-26 08:39:02,bagage oublie,Rueil-Malmaison,0 days 00:02:02
e316ce63-5b08-4da7-a5f9-b5e3075d43bd,2024-07-26 07:33:44,2024-07-26 08:12:54,bagage oublie,Châtelet les Halles,0 days 00:39:10
fb714f0b-af9d-4a3c-977c-c5dc9c054ae3,2024-07-25 23:05:48,2024-07-25 23:08:13,signal alarme,Noisy-Champs,0 days 00:02:25
5f58f7c4-b7cc-4efd-b187-087e745673d5,2024-07-25 18:34:24,2024-07-25 19:11:00,voyageur,Nation,0 days 00:36:36
cfbb343a-d464-4824-ad33-41042c08c32a,2024-07-25 16:42:34,2024-07-25 16:43:12,voies,Auber,0 days 00:00:38
e2756f50-1ee3-42c4-bb4b-4f733264999d,2024-07-25 16:15:17,2024-07-25 16:16:04,signal alarme,Saint-Maur-Créteil,0 days 00:00:47
9b9678cf-98e2-4b78-88ec-d7e42f74bf8a,2024-07-25 15:33:17,2024-07-25 15:40:11,signal alarme,Gare de Lyon,0 days 00:06:54
9554d32b-5bea-4527-bbed-e30460bd3ff6,2024-07-25 15:23:22,2024-07-25 15:28:36,bagage oublie,Champigny,0 days 00:05:14
5b3fae74-5e2f-452c-8214-d8cf1e543dc3,2024-07-25 14:07:50,2024-07-25 14:25:34,intervention personnel,La Varenne-Chennevières,0 days 00:17:44
d8a8fa57-ac26-4a2d-89bb-64cbd9a84f54,2024-07-25 12:08:21,2024-07-25 12:09:07,intervention personnel,Torcy,0 days 00:00:46
49035d56-d088-45b6-912a-dd0e83f66583,2024-07-25 11:34:07,2024-07-25 11:37:32,intervention personnel,La Varenne-Chennevières,0 days 00:03:25
8f867860-0c6f-47e9-8845-38acfd03652b,2024-07-25 06:20:21,2024-07-25 06:23:45,intervention personnel,Torcy,0 days 00:03:24
ad1623e8-90bb-4c46-972c-363989f711f2,2024-07-24 16:28:51,2024-07-24 16:32:19,bagage oublie,Châtelet les Halles,0 days 00:03:28
606eea05-1c2b-4d11-8f08-f2198e8f7e59,2024-07-24 16:11:38,2024-07-24 16:34:18,voyageur,Torcy,0 days 00:22:40
b612b54a-029b-4745-b349-2686515fb3ec,2024-07-24 15:49:40,2024-07-24 15:50:09,intervention personnel,La Varenne-Chennevières,0 days 00:00:29
e321ee2e-b642-4027-ad6b-0dae3eda6dbc,2024-07-24 12:22:46,2024-07-24 12:50:04,porte,Fontenay-sous-Bois,0 days 00:27:18
85c34ef7-681c-458f-98be-403c9ca869a6,2024-07-24 11:01:48,2024-07-24 11:04:05,mesure securite,Charles de Gaulle-Etoile,0 days 00:02:17
c4921832-dc5b-4032-9d74-4a135b7a53bf,2024-07-24 10:05:02,2024-07-24 10:12:04,panne train,Cergy le Haut,0 days 00:07:02
532cf80a-6fbd-4ec7-aba4-32f9134754b2,2024-07-24 07:23:11,2024-07-24 07:28:27,voyageur,Châtelet les Halles,0 days 00:05:16
fb1dbc01-b408-4338-931e-6e3e4dd2b390,2024-07-23 17:08:58,2024-07-23 17:46:54,signalisation,Achères Ville,0 days 00:37:56
acd403b3-ecd0-4046-8ec0-1d998007f4c2,2024-07-23 16:15:14,2024-07-23 16:52:10,voyageur,Poissy,0 days 00:36:56
074ba819-9c20-4c7a-8c95-3e5bb8ec11b2,2024-07-23 15:02:08,2024-07-23 16:13:12,voyageur,Achères Ville,0 days 01:11:04
cf05c91b-6c3f-44f1-b311-02f55f3e8c1e,2024-07-23 13:31:34,2024-07-23 13:32:38,intervention personnel,Rueil-Malmaison,0 days 00:01:04
cd6fdc23-90cc-4ecc-9272-0440890ccb4a,2024-07-23 12:37:06,2024-07-23 12:38:55,intervention personnel,Châtelet les Halles,0 days 00:01:49
49abde67-957f-4380-8a7a-8cc5a32f38c1,2024-07-23 10:59:27,2024-07-23 11:04:39,voyageur,Noisy-le-Grand-Mont d'Est,0 days 00:05:12
b3ede947-d180-442a-b4a8-4c64cb54acef,2024-07-23 10:44:11,2024-07-23 10:51:25,bagage oublie,Auber,0 days 00:07:14
6c01caed-185c-497e-9688-ab40cb5fea1b,2024-07-23 10:21:40,2024-07-23 10:24:40,intervention personnel,Gare de Lyon,0 days 00:03:00
0c6e4b88-3624-4497-8d08-bf61abb9c167,2024-07-23 07:19:15,2024-07-23 08:02:36,panne train,Sartrouville,0 days 00:43:21
cfbffe97-e1dc-437d-a7f7-270834d715f9,2024-07-23 03:18:14,2024-07-23 03:55:54,incident exploitation,Cergy le Haut,0 days 00:37:40
e22ecea8-b77c-4344-b366-09467469ea6e,2024-07-22 22:17:10,2024-07-22 22:55:09,voyageur,Charles de Gaulle-Etoile,0 days 00:37:59
b7f3472c-3b4e-444c-853e-970e8406f7d2,2024-07-22 16:41:43,2024-07-22 17:44:43,divers,Marne-la-Vallée-Chessy,0 days 01:03:00
